Configuration				    ,Size,Character Writes(K/sec),%CP,Block WritesK/sec,%CP,Rewrite K/sec,%CP,Character Reads (K/sec),%CP,Block Reads (K/sec),%CP,Seeks /sec,%CP,Sequential File Create,Creates / sec,%CP,/sec,%CP,Delets /sec,%CP,Random Creates /sec,%CP,/sec,%CP,/sec,%CP
"Paired, Protocol C, Defaults, 1G          ",24064M,58048,99,118407,12,110830,20,51836,97,625278,44,400.6,1,16,12374,75,+++++,+++,7947,53,10103,68,+++++,+++,8474,54
"Stand Alone, Protocol C, Defaults, 1G     ",24064M,58330,99,498821,44,211839,30,52638,98,660763,45,427.6,1,16,23858,97,+++++,+++,21598,84,23445,98,+++++,+++,25157,98
"Paired, Protocol B, Defaults, 1G          ",24064M,55848,99,121647,12,110307,20,51796,97,593997,42,394.4,1,16,12227,75,+++++,+++,7955,53,10094,68,+++++,+++,8458,55
"Stand Alone, Protocol B, Defaults, 1G     ",24064M,57294,99,486921,44,192690,27,51739,98,601977,42,407.9,1,16,24638,100,+++++,+++,24245,96,22976,98,+++++,+++,24238,96
"Paired, Protocol A, Defaults, 1G          ",24064M,57818,99,122384,12,111227,21,51243,96,598323,42,412,1,16,12785,73,+++++,+++,8197,51,10235,66,+++++,+++,8846,54
"Stand Alone, Protocol A, Defaults, 1G     ",24064M,58453,99,478810,44,193407,27,52563,98,709949,49,397.7,1,16,23383,97,+++++,+++,21797,87,22469,97,+++++,+++,24878,98
"Paired, Protocol C, No Flushes, 1G        ",24064M,57081,99,120812,12,109085,20,50193,95,576401,41,406.5,1,16,12373,74,+++++,+++,7738,51,9776,64,+++++,+++,8798,55
"Stand Alone, Protocol C, No Flushes, 1G   ",24064M,58470,99,491524,45,192325,27,52628,98,664779,46,392.3,1,16,24219,99,+++++,+++,23018,92,22089,98,+++++,+++,25105,99
"Paired, Protocol B, No Flushes, 1G        ",24064M,56328,99,122678,12,110498,20,50482,96,537820,38,409.6,1,16,12356,74,+++++,+++,7369,49,10079,67,+++++,+++,8789,56
"Stand Alone, Protocol B, No Flushes, 1G   ",24064M,58401,99,483753,44,196719,28,52581,98,609196,42,392.9,1,16,24362,99,+++++,+++,21940,85,22523,98,+++++,+++,25459,97
"Paired, Protocol A, No Flushes, 1G        ",24064M,55974,99,122408,12,110725,19,50555,95,543755,38,411.6,1,16,12782,74,+++++,+++,7890,51,10265,67,+++++,+++,8805,56
"Stand Alone, Protocol A, No Flushes, 1G   ",24064M,57995,99,484506,44,187980,26,52434,98,654335,45,395.4,1,16,23739,97,+++++,+++,21708,84,22510,97,+++++,+++,25288,98
"Paired, Protocol C, Defaults, 10G",24064M,58283,99,459112,42,197371,29,52166,97,604073,42,453.2,1,16,23437,98,+++++,+++,21131,88,20576,96,+++++,+++,19553,85
"Stand Alone, Protocol C, Defaults, 10G",24064M,58436,99,501911,46,202036,28,52666,98,690068,47,398.8,1,16,24112,100,+++++,+++,23177,90,22098,98,+++++,+++,24739,99
"Paired, Protocol B, Defaults, 10G",24064M,57102,99,502630,46,208263,30,52097,97,715101,49,400.3,1,16,23401,98,+++++,+++,17434,89,20918,99,+++++,+++,18282,88
"Stand Alone, Protocol B, Defaults, 10G    ",24064M,58281,99,506375,46,206093,29,52378,98,714064,49,424.7,1,16,24054,99,+++++,+++,22089,87,22526,97,+++++,+++,24902,97
"Paired, Protocol A, Defaults, 10G         ",24064M,57919,99,481492,47,199313,28,52494,97,628868,43,400.1,1,16,22769,98,+++++,+++,17799,87,19922,99,+++++,+++,20897,96
"Stand Alone, Protocol A, Defaults, 10G    ",24064M,56233,99,494017,45,201427,28,51929,98,653178,45,403.5,1,16,24130,97,+++++,+++,23793,91,22976,99,+++++,+++,25588,98
"Paired, Protocol C, No Flushes, 10G",24064M,57245,99,486028,46,194484,28,52156,97,660621,46,391.8,1,16,22564,97,+++++,+++,18471,82,21879,98,+++++,+++,20696,84
"Stand Alone, Protocol C, No Flushes, 10G",24064M,58461,99,475872,43,184117,26,52098,98,633313,44,397.3,1,16,24122,100,+++++,+++,23017,92,22072,96,+++++,+++,24783,98
"Paired, Protocol B, No Flushes, 10G",24064M,58005,99,486286,45,206376,30,52137,97,586694,40,397.1,1,16,22743,98,+++++,+++,20615,89,21130,98,+++++,+++,23047,97
"Stand Alone, Protocol B, No Flushes, 10G",24064M,57378,99,486049,45,197942,28,52099,98,632906,44,385,1,16,24092,98,+++++,+++,23002,92,22313,99,+++++,+++,24262,96
"Paired, Protocol A, No Flushes, 10G",24064M,57023,99,500266,47,204397,30,51533,98,660031,46,406.2,1,16,22158,98,+++++,+++,19589,83,22052,98,+++++,+++,22485,94
"Stand Alone, Protocol A, No Flushes, 10G",24064M,58139,99,512985,47,206961,29,52483,98,667481,46,422.4,1,16,23881,99,+++++,+++,22863,92,22381,98,+++++,+++,24058,96
